Date (yyyy-MMM-dd hh:mm),Latitude (N),Longitude (W),Temperature (C),Pressure (dbar),Speed (cm/s),Bottom Depth (m)
5/1/2017 16:00,25.728,-96.301,12.79,312,19.91132843,-356
5/2/2017 0:00,25.77,-96.269,12.802,309.9,19.85519831,-454
5/2/2017 8:00,25.816,-96.245,12.762,307.9,18.63017982,-497
5/2/2017 16:00,25.831,-96.204,12.643,305.5,12.28197053,-601
5/3/2017 0:00,25.798,-96.188,12.701,305.2,16.03528609,-632
5/3/2017 8:00,25.765,-96.198,12.832,314.5,11.80254634,-614
5/3/2017 16:00,25.765,-96.224,12.821,314.1,11.25318177,-566
5/4/2017 0:00,25.803,-96.22,12.903,314.3,10.37062197,-568
5/4/2017 8:00,25.81,-96.218,13.078,321.5,2.909312634,-564
5/4/2017 16:00,25.818,-96.197,12.96,317.1,11.3006637,-614
5/5/2017 0:00,25.818,-96.168,12.805,311.5,9.78603597,-678
5/5/2017 8:00,25.792,-96.168,12.777,308.2,6.460379246,-673
5/5/2017 16:00,25.806,-96.195,12.796,313.4,13.37979447,-624
5/6/2017 0:00,25.817,-96.226,12.653,305.4,9.901565533,-540
5/6/2017 8:00,25.837,-96.243,12.706,308.3,9.664558966,-498
5/6/2017 16:00,25.862,-96.249,12.618,304.9,16.84054631,-502
5/7/2017 0:00,25.899,-96.213,12.711,306.2,9.493181764,-544
5/7/2017 8:00,25.877,-96.205,12.78,308.6,8.081744861,-585
5/7/2017 16:00,25.872,-96.194,12.624,304.8,4.890010225,-625
5/8/2017 0:00,25.851,-96.188,12.688,307.8,13.15509407,-640
5/8/2017 8:00,25.807,-96.2,12.727,307.8,21.20453018,-603
5/8/2017 16:00,25.766,-96.226,12.706,308.7,8.256318792,-553
5/9/2017 0:00,25.77,-96.221,12.779,310.6,5.499181757,-565
5/9/2017 8:00,25.78,-96.213,12.846,312.7,6.78305241,-577
5/9/2017 16:00,25.804,-96.198,12.915,313.9,14.01619421,-613
5/10/2017 0:00,25.845,-96.179,12.933,313.1,20.20069306,-668
5/10/2017 8:00,25.893,-96.164,12.814,310,14.94065594,-671
5/10/2017 16:00,25.927,-96.173,12.775,310.6,16.57265519,-630
5/11/2017 0:00,25.975,-96.178,12.703,306,16.15854263,-608
5/11/2017 8:00,25.999,-96.214,12.641,305.1,15.36525952,-550
5/11/2017 16:00,26.032,-96.236,12.648,304.2,16.50859473,-559
5/12/2017 0:00,26.078,-96.231,12.595,301.4,18.52190595,-441
5/12/2017 8:00,26.112,-96.221,12.626,303.1,4.883809988,-597
5/12/2017 16:00,26.105,-96.222,12.552,299.4,4.934065261,-586
5/13/2017 0:00,26.096,-96.23,12.379,295.3,7.283872596,-484
5/13/2017 8:00,26.077,-96.249,12.351,293.2,9.814530045,-401
5/13/2017 16:00,26.057,-96.255,12.287,291.9,5.980836062,-403
5/14/2017 0:00,26.047,-96.254,12.316,294.1,1.936207633,-444
5/14/2017 8:00,26.047,-96.259,12.411,297,3.302029679,-440
5/14/2017 16:00,26.064,-96.258,12.434,296.5,15.12653959,-384
5/15/2017 0:00,26.116,-96.226,12.614,304.4,25.20723111,-554
5/15/2017 8:00,26.167,-96.194,12.655,305.8,20.9507661,-670
5/15/2017 16:00,26.214,-96.163,12.654,306.2,22.13531567,-711
5/16/2017 0:00,26.255,-96.133,12.572,303.7,10.126016,-754
5/16/2017 8:00,26.259,-96.147,12.594,303.6,11.30897431,-720
5/16/2017 16:00,26.244,-96.18,12.595,303.6,12.10437937,-651
5/17/2017 0:00,26.235,-96.206,12.629,305.7,7.972013547,-595
